% Edge logfile: log_20240404_121729.277/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1712225849.3608 2 1 0.0300 0.0132 -1.3269 0
1712225849.3685 2 1 0.0300 0.0131 -1.3016 0
1712225849.3764 2 1 0.0300 0.0127 -1.3004 0
1712225849.3844 2 1 0.0300 0.0133 -1.2193 0
1712225849.3932 2 1 0.0300 0.0133 -1.1923 0
1712225849.4005 2 1 0.0300 0.0126 -1.2181 0
1712225849.4086 2 1 0.0300 0.0122 -1.2267 0
1712225849.4163 2 1 0.0300 0.0125 -1.1764 0
1712225849.4243 2 1 0.0300 0.0125 -1.1472 0
1712225849.4323 2 1 0.0300 0.0132 -1.0685 0
1712225849.4412 2 1 0.0300 0.0137 -1.0126 0
1712225849.4483 2 1 0.0300 0.0135 -1.0049 0
1712225849.4563 2 1 0.0300 0.0133 -1.0050 0
1712225849.4651 2 1 0.0300 0.0138 -0.9485 0
1712225849.4731 2 1 0.0300 0.0147 -0.8658 0
1712225849.4811 2 1 0.0300 0.0151 -0.8146 0
1712225849.4890 2 1 0.0300 0.0152 -0.7962 0
1712225849.4971 2 1 0.0300 0.0160 -0.7233 0
1712225849.5050 2 1 0.0300 0.0169 -0.6415 0
1712225849.5128 2 1 0.0300 0.0170 -0.6324 0
1712225849.5207 2 1 0.0300 0.0180 -0.5443 0
1712225849.5287 2 1 0.0300 0.0190 -0.4612 0
1712225849.5367 2 1 0.0300 0.0198 -0.4008 0
1712225849.5446 2 1 0.0300 0.0203 -0.3637 0
1712225849.5528 2 1 0.0300 0.0209 -0.3172 0
1712225849.5605 2 1 0.0300 0.0211 -0.3025 0
1712225849.5684 2 1 0.0300 0.0219 -0.2383 0
1712225849.5766 2 1 0.0300 0.0225 -0.1939 0
1712225849.5843 2 1 0.0300 0.0243 -0.0627 0
1712225849.5923 2 1 0.0300 0.0243 -0.0662 0
1712225849.6005 2 1 0.0300 0.0252 -0.0102 0
1712225849.6093 2 1 0.0300 0.0272 0.1408 0
1712225849.6163 2 1 0.0300 0.0271 0.1203 0
1712225849.6245 2 1 0.0300 0.0274 0.1356 0
1712225849.6332 2 1 0.0300 0.0291 0.2525 0
1712225849.6412 2 1 0.0300 0.0298 0.2933 0
1712225849.6493 2 1 0.0300 0.0298 0.2757 0
1712225849.6570 2 1 0.0300 0.0302 0.2949 0
1712225849.6650 2 1 0.0300 0.0308 0.3290 0
1712225849.6732 2 1 0.0300 0.0317 0.3803 0
1712225849.6809 2 1 0.0300 0.0331 0.4816 0
1712225849.6888 2 1 0.0300 0.0339 0.5214 0
1712225849.6970 2 1 0.0300 0.0348 0.5714 0
1712225849.7047 2 1 0.0300 0.0344 0.5228 0
1712225849.7129 2 1 0.0300 0.0363 0.6518 0
1712225849.7209 2 1 0.0300 0.0373 0.7106 0
1712225849.7286 2 1 0.0300 0.0377 0.7259 0
1712225849.7366 2 1 0.0300 0.0381 0.7332 0
1712225849.7446 2 1 0.0300 0.0394 0.8108 0
1712225849.7526 2 1 0.0300 0.0386 0.7277 0
1712225849.7607 2 1 0.0300 0.0398 0.7994 0
1712225849.7688 2 1 0.0300 0.0407 0.8513 0
1712225849.7764 2 1 0.0300 0.0413 0.8794 0
1712225849.7844 2 1 0.0300 0.0410 0.8352 0
1712225849.7924 2 1 0.0300 0.0412 0.8284 0
1712225849.8006 2 1 0.0300 0.0415 0.8349 0
1712225849.8086 2 1 0.0300 0.0415 0.8153 0
1712225849.8166 2 1 0.0300 0.0411 0.7653 0
1712225849.8243 2 1 0.0300 0.0421 0.8231 0
1712225849.8333 2 1 0.0300 0.0417 0.7761 0
1712225849.8405 2 1 0.0300 0.0411 0.7153 0
1712225849.8506 2 1 0.0300 0.0407 0.6667 0
1712225849.8565 2 1 0.0300 0.0406 0.6447 0
1712225849.8646 2 1 0.0300 0.0398 0.5709 0
1712225849.8733 2 1 0.0300 0.0397 0.5537 0
1712225849.8813 2 1 0.0300 0.0394 0.5244 0
1712225849.8892 2 1 0.0300 0.0387 0.4611 0
1712225849.8973 2 1 0.0300 0.0379 0.3941 0
1712225849.9053 2 1 0.0300 0.0374 0.3458 0
1712225849.9132 2 1 0.0300 0.0369 0.3055 0
1712225849.9210 2 1 0.0300 0.0368 0.2962 0
1712225849.9289 2 1 0.0300 0.0358 0.2184 0
1712225849.9372 2 1 0.0300 0.0352 0.1667 0
1712225849.9448 2 1 0.0300 0.0340 0.0754 0
1712225849.9530 2 1 0.0300 0.0338 0.0642 0
1712225849.9610 2 1 0.0300 0.0336 0.0511 0
1712225849.9687 2 1 0.0300 0.0332 0.0247 0
1712225849.9767 2 1 0.0300 0.0327 -0.0082 0
1712225849.9851 2 1 0.0300 0.0321 -0.0524 0
1712225849.9928 2 1 0.0300 0.0321 -0.0444 0
1712225850.0010 2 1 0.0300 0.0312 -0.1037 0
1712225850.0090 2 1 0.0300 0.0312 -0.1019 0
1712225850.0167 2 1 0.0300 0.0313 -0.0820 0
1712225850.0247 2 1 0.0300 0.0311 -0.0933 0
1712225850.0330 2 1 0.0300 0.0301 -0.1671 0
1712225850.0407 2 1 0.0300 0.0298 -0.1755 0
1712225850.0490 2 1 0.0300 0.0293 -0.2081 0
1712225850.0573 2 1 0.0300 0.0291 -0.2153 0
1712225850.0651 2 1 0.0300 0.0285 -0.2506 0
1712225850.0723 2 1 0.0300 0.0286 -0.2326 0
1712225850.0804 2 1 0.0300 0.0279 -0.2782 0
1712225850.0892 2 1 0.0300 0.0280 -0.2640 0
1712225850.0963 2 1 0.0300 0.0270 -0.3313 0
1712225850.1043 2 1 0.0300 0.0275 -0.2845 0
1712225850.1131 2 1 0.0300 0.0273 -0.2855 0
1712225850.1203 2 1 0.0300 0.0273 -0.2823 0
1712225850.1293 2 1 0.0300 0.0268 -0.3063 0
1712225850.1370 2 1 0.0300 0.0269 -0.2934 0
1712225850.1450 2 1 0.0300 0.0267 -0.3003 0
1712225850.1532 2 1 0.0300 0.0271 -0.2593 0
1712225850.1610 2 1 0.0300 0.0273 -0.2385 0
1712225850.1691 2 1 0.0300 0.0278 -0.1891 0
1712225850.1771 2 1 0.0300 0.0278 -0.1875 0
1712225850.1848 2 1 0.0300 0.0283 -0.1381 0
1712225850.1928 2 1 0.0300 0.0277 -0.1864 0
1712225850.2009 2 1 0.0300 0.0284 -0.1263 0
1712225850.2088 2 1 0.0300 0.0287 -0.0942 0
1712225850.2168 2 1 0.0300 0.0290 -0.0688 0
1712225850.2248 2 1 0.0300 0.0295 -0.0318 0
1712225850.2325 2 1 0.0300 0.0303 0.0334 0
1712225850.2405 2 1 0.0300 0.0299 -0.0009 0
1712225850.2486 2 1 0.0300 0.0310 0.0857 0
1712225850.2565 2 1 0.0300 0.0312 0.0979 0
1712225850.2644 2 1 0.0300 0.0321 0.1683 0
1712225850.2724 2 1 0.0300 0.0321 0.1684 0
1712225850.2811 2 1 0.0300 0.0325 0.1910 0
1712225850.2891 2 1 0.0300 0.0325 0.1857 0
1712225850.2965 2 1 0.0300 0.0334 0.2542 0
1712225850.3052 2 1 0.0300 0.0332 0.2314 0
1712225850.3133 2 1 0.0300 0.0338 0.2769 0
1712225850.3212 2 1 0.0300 0.0341 0.2917 0
1712225850.3289 2 1 0.0300 0.0344 0.3109 0
1712225850.3371 2 1 0.0300 0.0341 0.2801 0
1712225850.3453 2 1 0.0300 0.0349 0.3317 0
1712225850.3532 2 1 0.0300 0.0352 0.3478 0
1712225850.3612 2 1 0.0300 0.0357 0.3823 0
1712225850.3692 2 1 0.0300 0.0356 0.3697 0
1712225850.3769 2 1 0.0300 0.0358 0.3725 0
1712225850.3850 2 1 0.0300 0.0358 0.3685 0
1712225850.3932 2 1 0.0300 0.0358 0.3604 0
1712225850.4010 2 1 0.0300 0.0365 0.4097 0
1712225850.4090 2 1 0.0300 0.0372 0.4540 0
1712225850.4170 2 1 0.0300 0.0368 0.4199 0
1712225850.4247 2 1 0.0300 0.0375 0.4678 0
1712225850.4329 2 1 0.0300 0.0371 0.4226 0
1712225850.4409 2 1 0.0300 0.0376 0.4576 0
1712225850.4488 2 1 0.0300 0.0376 0.4518 0
1712225850.4567 2 1 0.0300 0.0382 0.4907 0
1712225850.4648 2 1 0.0300 0.0377 0.4449 0
1712225850.4726 2 1 0.0300 0.0378 0.4389 0
1712225850.4808 2 1 0.0300 0.0369 0.3648 0
1712225850.4888 2 1 0.0300 0.0376 0.4179 0
1712225850.4966 2 1 0.0300 0.0371 0.3728 0
1712225850.5047 2 1 0.0300 0.0372 0.3702 0
1712225850.5127 2 1 0.0300 0.0366 0.3227 0
1712225850.5206 2 1 0.0300 0.0361 0.2809 0
1712225850.5285 2 1 0.0300 0.0359 0.2586 0
1712225850.5365 2 1 0.0300 0.0355 0.2257 0
1712225850.5453 2 1 0.0300 0.0356 0.2343 0
1712225850.5524 2 1 0.0300 0.0352 0.2018 0
1712225850.5605 2 1 0.0300 0.0345 0.1472 0
1712225850.5684 2 1 0.0300 0.0337 0.0854 0
1712225850.5764 2 1 0.0300 0.0331 0.0423 0
1712225850.5844 2 1 0.0300 0.0325 0.0006 0
1712225850.5932 2 1 0.0300 0.0325 0.0022 0
1712225850.6004 2 1 0.0300 0.0321 -0.0206 0
1712225850.6085 2 1 0.0300 0.0313 -0.0822 0
1712225850.6164 2 1 0.0300 0.0310 -0.1001 0
1712225850.6243 2 1 0.0300 0.0311 -0.0811 0
1712225850.6323 2 1 0.0300 0.0305 -0.1213 0
1712225850.6411 2 1 0.0300 0.0300 -0.1512 0
1712225850.6492 2 1 0.0300 0.0300 -0.1447 0
1712225850.6564 2 1 0.0300 0.0298 -0.1550 0
1712225850.6652 2 1 0.0300 0.0292 -0.1922 0
1712225850.6732 2 1 0.0300 0.0284 -0.2479 0
1712225850.6812 2 1 0.0300 0.0287 -0.2178 0
1712225850.6889 2 1 0.0300 0.0285 -0.2257 0
1712225850.6971 2 1 0.0300 0.0276 -0.2889 0
1712225850.7052 2 1 0.0300 0.0279 -0.2498 0
1712225850.7129 2 1 0.0300 0.0270 -0.3153 0
1712225850.7209 2 1 0.0300 0.0268 -0.3195 0
1712225850.7290 2 1 0.0300 0.0265 -0.3305 0
1712225850.7366 2 1 0.0300 0.0262 -0.3495 0
1712225850.7446 2 1 0.0300 0.0258 -0.3690 0
1712225850.7529 2 1 0.0300 0.0250 -0.4183 0
1712225850.7606 2 1 0.0300 0.0249 -0.4172 0
1712225850.7686 2 1 0.0300 0.0241 -0.4701 0
1712225850.7766 2 1 0.0300 0.0234 -0.5125 0
1712225850.7843 2 1 0.0300 0.0233 -0.5042 0
1712225850.7925 2 1 0.0300 0.0232 -0.5039 0
1712225850.8007 2 1 0.0300 0.0231 -0.5032 0
1712225850.8084 2 1 0.0300 0.0224 -0.5418 0
1712225850.8164 2 1 0.0300 0.0227 -0.5082 0
1712225850.8244 2 1 0.0300 0.0221 -0.5465 0
1712225850.8331 2 1 0.0300 0.0225 -0.5002 0
1712225850.8405 2 1 0.0300 0.0222 -0.5126 0
1712225850.8487 2 1 0.0300 0.0224 -0.4887 0
1712225850.8564 2 1 0.0300 0.0217 -0.5364 0
1712225850.8645 2 1 0.0300 0.0217 -0.5181 0
1712225850.8724 2 1 0.0300 0.0213 -0.5454 0
1712225850.8804 2 1 0.0300 0.0208 -0.5697 0
1712225850.8884 2 1 0.0300 0.0207 -0.5671 0
1712225850.8966 2 1 0.0300 0.0211 -0.5307 0
1712225850.9053 2 1 0.0300 0.0206 -0.5590 0
1712225850.9132 2 1 0.0300 0.0202 -0.5815 0
1712225850.9212 2 1 0.0300 0.0200 -0.5871 0
1712225850.9291 2 1 0.0300 0.0201 -0.5705 0
1712225850.9371 2 1 0.0300 0.0198 -0.5839 0
1712225850.9452 2 1 0.0300 0.0202 -0.5446 0
1712225850.9531 2 1 0.0300 0.0196 -0.5821 0
1712225850.9610 2 1 0.0300 0.0196 -0.5780 0
1712225850.9690 2 1 0.0300 0.0191 -0.6066 0
1712225850.9769 2 1 0.0300 0.0190 -0.6035 0
1712225850.9849 2 1 0.0300 0.0189 -0.6031 0
1712225850.9930 2 1 0.0300 0.0190 -0.5884 0
1712225851.0009 2 1 0.0300 0.0190 -0.5780 0
1712225851.0089 2 1 0.0300 0.0193 -0.5460 0
1712225851.0171 2 1 0.0300 0.0187 -0.5863 0
1712225851.0249 2 1 0.0300 0.0192 -0.5424 0
1712225851.0328 2 1 0.0300 0.0194 -0.5238 0
1712225851.0408 2 1 0.0300 0.0193 -0.5264 0
1712225851.0487 2 1 0.0300 0.0188 -0.5566 0
1712225851.0567 2 1 0.0300 0.0191 -0.5298 0
1712225851.0649 2 1 0.0300 0.0188 -0.5460 0
1712225851.0726 2 1 0.0300 0.0186 -0.5571 0
1712225851.0806 2 1 0.0300 0.0187 -0.5443 0
1712225851.0886 2 1 0.0300 0.0194 -0.4877 0
1712225851.0965 2 1 0.0300 0.0185 -0.5508 0
1712225851.1045 2 1 0.0300 0.0186 -0.5416 0
1712225851.1128 2 1 0.0300 0.0187 -0.5259 0
1712225851.1205 2 1 0.0300 0.0183 -0.5600 0
1712225851.1285 2 1 0.0300 0.0185 -0.5358 0
1712225851.1365 2 1 0.0300 0.0184 -0.5399 0
1712225851.1453 2 1 0.0300 0.0185 -0.5244 0
1712225851.1526 2 1 0.0300 0.0177 -0.5900 0
1712225851.1606 2 1 0.0300 0.0177 -0.5827 0
1712225851.1683 2 1 0.0300 0.0178 -0.5721 0
1712225851.1763 2 1 0.0300 0.0176 -0.5832 0
1712225851.1843 2 1 0.0300 0.0175 -0.5875 0
1712225851.1931 2 1 0.0300 0.0179 -0.5489 0
1712225851.2003 2 1 0.0300 0.0175 -0.5766 0
1712225851.2084 2 1 0.0300 0.0175 -0.5770 0
1712225851.2172 2 1 0.0300 0.0170 -0.6067 0
1712225851.2252 2 1 0.0300 0.0175 -0.5622 0
1712225851.2332 2 1 0.0300 0.0175 -0.5586 0
1712225851.2411 2 1 0.0300 0.0174 -0.5699 0
1712225851.2492 2 1 0.0300 0.0173 -0.5739 0
1712225851.2573 2 1 0.0300 0.0167 -0.6118 0
1712225851.2649 2 1 0.0300 0.0171 -0.5771 0
1712225851.2729 2 1 0.0300 0.0169 -0.5879 0
