% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1712225849.3422 0 0 0 0
1712225849.3492 0 0 0 0
1712225849.3572 0 0 0 0
1712225849.3652 0 0 0 0
1712225849.3731 2 2 2 2
1712225849.3819 4 5 2 3
1712225849.3899 6 8 2 3
1712225849.3972 7 8 1 0
1712225849.4060 8 8 1 0
1712225849.4141 10 10 2 2
1712225849.4220 13 12 3 2
1712225849.4298 16 14 3 2
1712225849.4378 19 15 3 1
1712225849.4459 23 17 4 2
1712225849.4537 27 19 4 2
1712225849.4617 32 21 5 2
1712225849.4698 38 22 6 1
1712225849.4775 44 25 6 3
1712225849.4857 51 28 7 3
1712225849.4937 58 30 7 2
1712225849.5015 65 33 7 3
1712225849.5094 72 36 7 3
1712225849.5174 80 39 8 3
1712225849.5262 88 42 8 3
1712225849.5334 96 45 8 3
1712225849.5413 105 48 9 3
1712225849.5502 113 52 8 4
1712225849.5582 122 55 9 3
1712225849.5662 131 58 9 3
1712225849.5739 140 61 9 3
1712225849.5821 148 66 8 5
1712225849.5900 156 71 8 5
1712225849.5979 166 75 10 4
1712225849.6060 174 78 8 3
1712225849.6140 182 82 8 4
1712225849.6219 190 87 8 5
1712225849.6299 197 92 7 5
1712225849.6379 205 96 8 4
1712225849.6456 213 101 8 5
1712225849.6537 221 107 8 6
1712225849.6616 227 112 6 5
1712225849.6696 234 116 7 4
1712225849.6776 241 121 7 5
1712225849.6855 249 127 8 6
1712225849.6943 256 132 7 5
1712225849.7013 262 136 6 4
1712225849.7093 268 141 6 5
1712225849.7173 275 147 7 6
1712225849.7253 280 153 5 6
1712225849.7333 285 159 5 6
1712225849.7420 291 164 6 5
1712225849.7503 296 168 5 4
1712225849.7574 301 173 5 5
1712225849.7662 305 178 4 5
1712225849.7742 310 183 5 5
1712225849.7822 315 188 5 5
1712225849.7898 318 194 3 6
1712225849.7980 321 199 3 5
1712225849.8063 325 205 4 6
1712225849.8140 329 212 4 7
1712225849.8220 332 218 3 6
1712225849.8300 335 224 3 6
1712225849.8379 337 231 2 7
1712225849.8461 340 239 3 8
1712225849.8542 343 247 3 8
1712225849.8619 345 254 2 7
1712225849.8700 348 263 3 9
1712225849.8780 351 271 3 8
1712225849.8856 353 278 2 7
1712225849.8938 356 286 3 8
1712225849.9019 359 295 3 9
1712225849.9096 361 303 2 8
1712225849.9176 364 311 3 8
1712225849.9256 367 320 3 9
1712225849.9333 370 328 3 8
1712225849.9416 373 336 3 8
1712225849.9497 376 343 3 7
1712225849.9573 380 352 4 9
1712225849.9654 384 360 4 8
1712225849.9734 387 366 3 6
1712225849.9815 391 373 4 7
1712225849.9895 396 379 5 6
1712225849.9977 400 386 4 7
1712225850.0054 404 393 4 7
1712225850.0134 408 401 4 8
1712225850.0214 413 407 5 6
1712225850.0294 418 413 5 6
1712225850.0374 422 419 4 6
1712225850.0455 427 424 5 5
1712225850.0536 432 431 5 7
1712225850.0618 437 437 5 6
1712225850.0699 441 444 4 7
1712225850.0778 446 449 5 5
1712225850.0858 450 455 4 6
1712225850.0939 454 460 4 5
1712225850.1018 459 466 5 6
1712225850.1097 463 472 4 6
1712225850.1180 468 476 5 4
1712225850.1257 473 481 5 5
1712225850.1337 478 486 5 5
1712225850.1417 483 491 5 5
1712225850.1495 489 496 6 5
1712225850.1575 495 500 6 4
1712225850.1658 501 504 6 4
1712225850.1735 507 508 6 4
1712225850.1815 513 512 6 4
1712225850.1895 520 516 7 4
1712225850.1973 526 520 6 4
1712225850.2055 533 523 7 3
1712225850.2135 539 527 6 4
1712225850.2223 546 532 7 5
1712225850.2302 553 536 7 4
1712225850.2382 560 539 7 3
1712225850.2459 567 543 7 4
1712225850.2543 573 548 6 5
1712225850.2622 580 553 7 5
1712225850.2699 587 557 7 4
1712225850.2779 593 561 6 4
1712225850.2858 599 565 6 4
1712225850.2936 605 571 6 6
1712225850.3019 611 577 6 6
1712225850.3100 617 581 6 4
1712225850.3177 623 586 6 5
1712225850.3256 628 591 5 5
1712225850.3337 634 597 6 6
1712225850.3417 640 602 6 5
1712225850.3499 645 607 5 5
1712225850.3579 650 613 5 6
1712225850.3656 655 619 5 6
1712225850.3735 660 625 5 6
1712225850.3817 666 630 6 5
1712225850.3895 671 635 5 5
1712225850.3977 676 641 5 6
1712225850.4057 681 647 5 6
1712225850.4133 687 652 6 5
1712225850.4214 692 657 5 5
1712225850.4294 696 663 4 6
1712225850.4373 701 669 5 6
1712225850.4453 706 674 5 5
1712225850.4534 711 680 5 6
1712225850.4622 715 686 4 6
1712225850.4703 719 692 4 6
1712225850.4775 724 698 5 6
1712225850.4862 728 703 4 5
1712225850.4942 732 709 4 6
1712225850.5013 736 716 4 7
1712225850.5101 740 722 4 6
1712225850.5181 744 728 4 6
1712225850.5263 748 735 4 7
1712225850.5340 752 742 4 7
1712225850.5420 756 748 4 6
1712225850.5501 760 755 4 7
1712225850.5578 763 762 3 7
1712225850.5661 767 768 4 6
1712225850.5741 771 775 4 7
1712225850.5818 775 782 4 7
1712225850.5898 778 790 3 8
1712225850.5981 782 796 4 6
1712225850.6058 788 801 6 5
1712225850.6142 792 808 4 7
1712225850.6221 796 816 4 8
1712225850.6298 800 822 4 6
1712225850.6378 805 827 5 5
1712225850.6458 810 833 5 6
1712225850.6536 814 840 4 7
1712225850.6618 818 846 4 6
1712225850.6699 823 851 5 5
1712225850.6776 829 857 6 6
1712225850.6856 834 864 5 7
1712225850.6935 839 869 5 5
1712225850.7017 844 874 5 5
1712225850.7096 849 880 5 6
1712225850.7176 854 886 5 6
1712225850.7253 860 891 6 5
1712225850.7333 865 896 5 5
1712225850.7413 870 901 5 5
1712225850.7493 876 906 6 5
1712225850.7573 880 911 4 5
1712225850.7653 885 916 5 5
1712225850.7740 890 922 5 6
1712225850.7820 896 927 6 5
1712225850.7900 902 933 6 6
1712225850.7981 908 937 6 4
1712225850.8062 913 942 5 5
1712225850.8141 919 947 6 5
1712225850.8218 925 952 6 5
1712225850.8298 932 957 7 5
1712225850.8382 937 961 5 4
1712225850.8459 943 965 6 4
1712225850.8542 950 970 7 5
1712225850.8622 956 973 6 3
1712225850.8699 962 977 6 4
1712225850.8779 969 981 7 4
1712225850.8861 975 985 6 4
1712225850.8938 982 988 7 3
1712225850.9020 989 992 7 4
1712225850.9099 996 995 7 3
1712225850.9176 1003 999 7 4
1712225850.9258 1010 1002 7 3
1712225850.9338 1017 1005 7 3
1712225850.9415 1024 1009 7 4
1712225850.9498 1031 1012 7 3
1712225850.9577 1038 1016 7 4
1712225850.9654 1045 1020 7 4
1712225850.9736 1052 1023 7 3
1712225850.9816 1058 1026 6 3
1712225850.9893 1066 1030 8 4
1712225850.9975 1073 1034 7 4
1712225851.0055 1080 1037 7 3
1712225851.0143 1087 1041 7 4
1712225851.0215 1092 1045 5 4
1712225851.0295 1099 1049 7 4
1712225851.0383 1106 1052 7 3
1712225851.0463 1113 1056 7 4
1712225851.0534 1120 1060 7 4
1712225851.0613 1127 1064 7 4
1712225851.0693 1134 1068 7 4
1712225851.0773 1141 1071 7 3
1712225851.0860 1148 1075 7 4
1712225851.0941 1155 1080 7 5
1712225851.1022 1163 1084 8 4
1712225851.1102 1170 1088 7 4
1712225851.1183 1177 1091 7 3
1712225851.1263 1184 1095 7 4
1712225851.1340 1191 1100 7 5
1712225851.1420 1198 1104 7 4
1712225851.1501 1204 1107 6 3
1712225851.1580 1211 1111 7 4
1712225851.1660 1217 1116 6 5
1712225851.1741 1223 1120 6 4
1712225851.1818 1230 1123 7 3
1712225851.1898 1236 1126 6 3
1712225851.1981 1243 1131 7 5
1712225851.2059 1250 1135 7 4
1712225851.2138 1257 1137 7 2
1712225851.2219 1264 1141 7 4
1712225851.2296 1271 1146 7 5
1712225851.2375 1277 1150 6 4
1712225851.2457 1284 1154 7 4
1712225851.2536 1291 1157 7 3
1712225851.2617 1298 1162 7 5
1712225851.2696 1304 1166 6 4
1712225851.2773 1311 1170 7 4
1712225851.2855 1318 1174 7 4
1712225851.2935 1325 1177 7 3
1712225851.3014 1332 1181 7 4
1712225851.3094 1339 1186 7 5
1712225851.3174 1345 1189 6 3
1712225851.3262 1352 1193 7 4
1712225851.3334 1359 1197 7 4
1712225851.3416 1366 1202 7 5
1712225851.3495 1372 1205 6 3
1712225851.3575 1378 1209 6 4
1712225851.3655 1386 1213 8 4
1712225851.3742 1392 1217 6 4
1712225851.3813 1398 1221 6 4
1712225851.3894 1405 1224 7 3
1712225851.3984 1411 1228 6 4
1712225851.4053 1418 1233 7 5
1712225851.4133 1424 1237 6 4
1712225851.4223 1430 1240 6 3
1712225851.4303 1437 1244 7 4
1712225851.4382 1444 1248 7 4
1712225851.4459 1451 1252 7 4
1712225851.4542 1457 1256 6 4
1712225851.4622 1464 1259 7 3
1712225851.4702 1471 1264 7 5
1712225851.4783 1477 1268 6 4
1712225851.4863 1484 1271 7 3
1712225851.4939 1491 1275 7 4
1712225851.5021 1497 1279 6 4
1712225851.5101 1504 1283 7 4
1712225851.5180 1511 1287 7 4
1712225851.5260 1518 1291 7 4
1712225851.5341 1525 1295 7 4
1712225851.5418 1531 1299 6 4
1712225851.5500 1539 1303 8 4
